Y [ m ],Velocity u [ m s^-1 ],,,,,
-0.1,0.00E+00,,,,,
-0.097979798,1.27E-01,,,,,
-0.095959596,2.29E-01,,,,,
-0.093939394,3.01E-01,,,,,
-0.091919192,3.51E-01,,,,,
-0.089898989,3.90E-01,,,,,
-0.087878786,4.21E-01,,,,,
-0.085858584,4.47E-01,,,,,
-0.083838381,4.69E-01,,,,,
-0.081818179,4.87E-01,,,,,
-0.079797976,5.02E-01,,,,,
-0.077777774,5.13E-01,,,,,
-0.075757571,5.22E-01,,,,,
-0.073737368,5.28E-01,,,,,
-0.071717166,5.33E-01,,,,,
-0.069696963,5.36E-01,,,,,
-0.067676763,5.38E-01,,,,,
-0.06565656,5.40E-01,,,,,
-0.063636357,5.41E-01,,,,,
-0.061616155,5.41E-01,,,,,
-0.059595952,5.42E-01,,,,,
-0.05757575,5.42E-01,,,,,
-0.055555547,5.42E-01,,,,,
-0.053535345,5.42E-01,,,,,
-0.051515142,5.42E-01,,,,,
-0.049494939,5.42E-01,,,,,
-0.047474737,5.42E-01,,,,,
-0.045454534,5.41E-01,,,,,
-0.043434332,5.41E-01,,,,,
-0.041414129,5.41E-01,,,,,
-0.039393926,5.41E-01,,,,,
-0.037373728,5.40E-01,,,,,
-0.035353525,5.40E-01,,,,,
-0.033333322,5.40E-01,,,,,
-0.03131312,5.40E-01,,,,,
-0.029292917,5.40E-01,,,,,
-0.027272715,5.39E-01,,,,,
-0.025252512,5.39E-01,,,,,
-0.02323231,5.39E-01,,,,,
-0.021212107,5.39E-01,,,,,
-0.019191904,5.39E-01,,,,,
-0.017171702,5.39E-01,,,,,
-0.015151499,5.39E-01,,,,,
-0.013131297,5.39E-01,,,,,
-0.011111094,5.38E-01,,,,,
-0.009090892,5.38E-01,,,,,
-0.007070689,5.38E-01,,,,,
-0.005050486,5.38E-01,,,,,
-0.003030284,5.38E-01,,,,,
-0.001010081,5.38E-01,,,,,
0.001010121,5.38E-01,,,,,
0.003030324,5.38E-01,,,,,
0.005050527,5.38E-01,,,,,
0.007070729,5.38E-01,,,,,
0.009090932,5.38E-01,,,,,
0.011111134,5.38E-01,,,,,
0.013131337,5.39E-01,,,,,
0.015151539,5.39E-01,,,,,
0.017171742,5.39E-01,,,,,
0.019191945,5.39E-01,,,,,
0.021212147,5.39E-01,,,,,
0.02323235,5.39E-01,,,,,
0.025252545,5.39E-01,,,,,
0.02727274,5.39E-01,,,,,
0.029292935,5.40E-01,,,,,
0.03131313,5.40E-01,,,,,
0.033333325,5.40E-01,,,,,
0.035353521,5.40E-01,,,,,
0.037373716,5.40E-01,,,,,
0.039393911,5.41E-01,,,,,
0.041414106,5.41E-01,,,,,
0.043434301,5.41E-01,,,,,
0.045454496,5.41E-01,,,,,
0.047474691,5.42E-01,,,,,
0.049494886,5.42E-01,,,,,
0.051515082,5.42E-01,,,,,
0.053535277,5.42E-01,,,,,
0.055555472,5.42E-01,,,,,
0.057575667,5.42E-01,,,,,
0.059595862,5.42E-01,,,,,
0.061616057,5.41E-01,,,,,
0.063636252,5.41E-01,,,,,
0.065656447,5.40E-01,,,,,
0.067676643,5.38E-01,,,,,
0.069696838,5.36E-01,,,,,
0.071717033,5.33E-01,,,,,
0.073737228,5.28E-01,,,,,
0.075757423,5.22E-01,,,,,
0.077777618,5.13E-01,,,,,
0.079797813,5.02E-01,,,,,
0.081818008,4.87E-01,,,,,
0.083838204,4.69E-01,,,,,
0.085858399,4.47E-01,,,,,
0.087878594,4.21E-01,,,,,
0.089898789,3.90E-01,,,,,
0.091918984,3.51E-01,,,,,
0.093939179,3.01E-01,,,,,
0.095959374,2.29E-01,,,,,
0.097979569,1.27E-01,,,,,
0.099999765,1.50E-05,,,,,
