X [ m ],Pressure [ Pa ]
0.00E+00,4.46E-01
1.01E-02,4.46E-01
2.02E-02,4.45E-01
3.03E-02,4.45E-01
4.04E-02,4.44E-01
5.05E-02,4.44E-01
6.06E-02,4.43E-01
7.07E-02,4.42E-01
8.08E-02,4.41E-01
9.09E-02,4.40E-01
1.01E-01,4.39E-01
1.11E-01,4.37E-01
1.21E-01,4.36E-01
1.31E-01,4.35E-01
1.41E-01,4.33E-01
1.52E-01,4.31E-01
1.62E-01,4.30E-01
1.72E-01,4.28E-01
1.82E-01,4.26E-01
1.92E-01,4.24E-01
2.02E-01,4.22E-01
2.12E-01,4.20E-01
2.22E-01,4.18E-01
2.32E-01,4.16E-01
2.42E-01,4.14E-01
2.53E-01,4.12E-01
2.63E-01,4.09E-01
2.73E-01,4.07E-01
2.83E-01,4.05E-01
2.93E-01,4.02E-01
3.03E-01,4.00E-01
3.13E-01,3.97E-01
3.23E-01,3.95E-01
3.33E-01,3.92E-01
3.43E-01,3.89E-01
3.54E-01,3.87E-01
3.64E-01,3.84E-01
3.74E-01,3.81E-01
3.84E-01,3.78E-01
3.94E-01,3.75E-01
4.04E-01,3.72E-01
4.14E-01,3.69E-01
4.24E-01,3.66E-01
4.34E-01,3.62E-01
4.44E-01,3.59E-01
4.55E-01,3.56E-01
4.65E-01,3.52E-01
4.75E-01,3.49E-01
4.85E-01,3.45E-01
4.95E-01,3.42E-01
5.05E-01,3.38E-01
5.15E-01,3.34E-01
5.25E-01,3.30E-01
5.35E-01,3.26E-01
5.45E-01,3.22E-01
5.56E-01,3.18E-01
5.66E-01,3.14E-01
5.76E-01,3.10E-01
5.86E-01,3.06E-01
5.96E-01,3.01E-01
6.06E-01,2.97E-01
6.16E-01,2.92E-01
6.26E-01,2.87E-01
6.36E-01,2.82E-01
6.46E-01,2.77E-01
6.57E-01,2.72E-01
6.67E-01,2.67E-01
6.77E-01,2.62E-01
6.87E-01,2.56E-01
6.97E-01,2.51E-01
7.07E-01,2.45E-01
7.17E-01,2.39E-01
7.27E-01,2.33E-01
7.37E-01,2.27E-01
7.47E-01,2.21E-01
7.58E-01,2.14E-01
7.68E-01,2.08E-01
7.78E-01,2.01E-01
7.88E-01,1.94E-01
7.98E-01,1.87E-01
8.08E-01,1.80E-01
8.18E-01,1.72E-01
8.28E-01,1.65E-01
8.38E-01,1.57E-01
8.48E-01,1.49E-01
8.59E-01,1.41E-01
8.69E-01,1.32E-01
8.79E-01,1.24E-01
8.89E-01,1.15E-01
8.99E-01,1.05E-01
9.09E-01,9.60E-02
9.19E-01,8.63E-02
9.29E-01,7.64E-02
9.39E-01,6.62E-02
9.49E-01,5.57E-02
9.60E-01,4.50E-02
9.70E-01,3.40E-02
9.80E-01,2.27E-02
9.90E-01,1.12E-02
1.00E+00,0.00E+00
